Flight No,TimeStamp,Altitude,Latitude,Longitude
AA101,1530270000,11.87958,53.93644,-14.5025405
AA151,1530270000,10.96518,49.1290035,-4.04433465
AA198,1530270000,0,39.7928187,-72.7785907
AA204,1530270000,0,40.2221208,-73.3256108
AA209,1530270000,11.57478,60.8097454,-29.7560077
AA221,1530270000,10.05474874,59.3816744,-21.5986516
AA25,1530270000,10.3632,54.977373,-20.1311679
AA258,1530270000,0,39.007541,-8.61311643
AA291,1530270000,10.43270324,52.9833631,-23.4820306
AA37,1530270000,10.96742878,43.7020337,-18.5032096
AA45,1530270000,10.22469717,52.0843179,-22.6410013
AA47,1530270000,12.192,59.923279,-41.6884253
AA51,1530270000,10.0584,52.2038171,-28.6693458
AA57,1530270000,10.0584,52.8048801,-24.3852639
AA67,1530270000,11.5824,43.9895747,-24.1491282
AA705,1530270000,11.5824,52.0865742,-30.4096567
AA71,1530270000,9.137952372,55.7417324,-4.26347108
AA717,1530270000,11.5824,54.5911721,-17.195432
AA723,1530270000,4.646779327,53.6627526,-6.95736636
AA725,1530270000,11.5824,53.1578826,-29.1696931
AA731,1530270000,0,51.4757866,-0.451738429
AA749,1530270000,1.32969,40.5628252,-3.58937017
AA751,1530270000,10.9728,54.1176706,-4.48649308
AA755,1530270000,11.5824,52.0595455,-23.6192295
AA786,1530270000,0,12.7305807,-72.0839156
AA787,1530270000,0,48.712296,-3.61152579
AA96,1530270000,0,40.3705172,-73.7210696
AA99,1530270000,12.192,58.4083344,-53.4329231
BA117,1530270000,11.38822094,50.920175,-38.380594
BA173,1530270000,10.083165,53.2728331,-1.80060625
BA174,1530270000,0,40.4610918,-73.4033164
BA175,1530270000,10.98804,53.3609442,-20.9643535
BA177,1530270000,0,51.4748592,-0.588024167
BA179,1530270000,0,51.473099,-0.870455923
BA185,1530270000,10.9728,54.6151533,-8.54238974
BA191,1530270000,0,51.5197166,-0.47989775
BA2037,1530270000,2.01549,51.15818,-0.598755
BA207,1530270000,10.05078,52.620708,-9.34922475
BA212,1530270000,0,45.374937,-69.564473
BA2167,1530270000,11.5824,51.2865197,-22.0116346
BA217,1530270000,10.3632,52.6142395,-5.44053871
BA239,1530270000,0,51.4497152,-0.488029289
BA244,1530270000,0,-34.6093345,-59.6333574
BA249,1530270000,0,51.6322945,-0.458070305
BA250,1530270000,0,-33.6624311,-70.8184007
BA251,1530270000,3.335655,-32.7974233,-70.8157083
BA283,1530270000,10.3632,59.6091297,-19.2716105
BA285,1530270000,10.0584,53.5498105,-2.30932987
BA287,1530270000,0,51.4102619,-0.5371468
BA295,1530270000,10.35558,54.1755536,-11.3717613
BA49,1530270000,0,51.5070928,-0.914133588
BA53,1530270000,10.3632,63.4009227,-21.5766907
DL107,1530270000,9.7536,58.8005807,-15.8556238
DL109,1530270000,9.7536,42.5461589,-16.5873793
DL117,1530270000,10.0584,49.7883819,-14.4727873
DL118,1530270000,0,42.2650834,-71.0174884
DL131,1530270000,10.35740033,53.0378568,-16.5852769
DL133,1530270000,11.5824,60.5777126,-35.037444
DL136,1530270000,0,66.952779,-44.9106593
DL141,1530270000,10.66186526,49.0009823,-19.9909723
DL143,1530270000,10.9728,61.5365057,-21.4952613
DL154,1530270000,0,39.9580517,-72.1719595
DL161,1530270000,10.0584,58.614844,-18.928848
DL17,1530270000,11.5824,53.8129189,-10.2301194
DL177,1530270000,8.592861646,54.1864779,-9.73425787
DL179,1530270000,10.3632,62.3945753,-26.4122392
DL195,1530270000,9.458028003,44.8142914,-12.4669926
DL209,1530270000,0,55.8848329,-3.48526023
DL210,1530270000,9.7536,43.7612992,-27.4478076
DL229,1530270000,10.13132879,48.784867,-21.8187916
DL23,1530270000,10.3632,53.9243007,-22.908602
DL231,1530270000,9.757954281,49.7761757,-5.85537214
DL246,1530270000,0,63.9917311,-22.618048
DL259,1530270000,10.9728,52.2514998,-5.88205457
DL270,1530270000,10.668,43.5841949,-45.3477035
DL31,1530270000,0,51.4685061,-0.460837133
DL35,1530270000,10.9728,59.5628312,-21.7705439
DL4,1530270000,0,42.2424807,-73.3664694
DL400,1530270000,10.67562,49.8096917,-11.5781299
DL404,1530270000,0,40.6926357,-73.2798316
DL405,1530270000,10.9728,47.668554,-23.5262722
DL407,1530270000,0,40.6520992,-73.7402159
DL418,1530270000,0,41.6598513,-73.2797369
DL419,1530270000,10.69578362,48.8097272,-21.1742916
DL422,1530270000,0,40.6444021,-73.4424797
DL43,1530270000,9.426919505,54.3623762,-19.2442181
DL47,1530270000,10.9728,53.802686,-23.7363148
DL478,1530270000,10.87410286,10.2373203,-2.3196319
DL49,1530270000,10.668,54.5940184,-18.1715982
DL51,1530270000,9.7536,53.2420563,-6.24198048
DL54,1530270000,11.84069712,21.0333729,-23.9470365
DL59,1530270000,10.668,53.8536776,-23.6409783
DL63,1530270000,9.793752919,46.6309714,-14.751351
DL71,1530270000,10.50377096,51.1832559,-42.911193
DL73,1530270000,10.3632,52.7604446,-11.3302564
DL81,1530270000,9.756887055,53.029302,-6.5700568
DL83,1530270000,10.3632,45.8947668,-38.3144143
DL87,1530270000,10.3632,52.166098,-4.15077587
DL91,1530270000,10.0584,55.0048446,-15.2985806
DL97,1530270000,11.3786896,47.8989676,-21.6427474
LH400,1530270000,11.5824,53.5648832,-3.9198019
LH416,1530270000,11.5824,53.9795667,-17.5252366
LH421,1530270000,0,39.4839637,-72.9213418
LH423,1530270000,0,42.1183414,-70.7063453
LH438,1530270000,10.9728,55.4249163,-8.46894844
LH440,1530270000,10.9728,56.8522202,-9.24272886
LH442,1530270000,10.9728,57.2295816,-16.2601889
LH444,1530270000,10.35607966,51.5735568,-1.1451152
LH454,1530270000,10.9728,58.3129674,-10.6433674
LH456,1530270000,10.35689165,57.7196597,-11.5166804
LH462,1530270000,10.9728,52.0429683,-5.07557
LH475,1530270000,0,45.3260688,-73.4056169
LH490,1530270000,10.0584,58.1859588,-10.2996622
LH501,1530270000,0,-24.9185353,-44.883735
LH519,1530270000,11.26244294,46.8644521,-29.5955382
LH8164,1530270000,10.35507376,55.6977575,-13.4540361
LH8175,1530270000,9.329504938,54.3094826,-34.8599971
LH8189,1530270000,8.85198194,57.7944505,-51.2496504
LH8250,1530270000,9.875499335,22.9561969,-25.6840102
UA119,1530270000,7.316183224,56.1732519,-5.07379334
UA121,1530270000,10.05542345,43.1735902,-2.64868227
UA123,1530270000,11.03012483,44.6766889,-45.2125995
UA135,1530270000,10.3632,49.6970589,-15.1279217
UA141,1530270000,10.3632,43.856344,-9.88606093
UA15,1530270000,9.7536,54.0313531,-15.8376204
UA160,1530270000,9.7536,54.8923317,-15.5242659
UA162,1530270000,10.9728,54.3931541,-31.4677694
UA18,1530270000,10.96518,52.9559994,-14.8330928
UA21,1530270000,10.96518,52.8724905,-12.6581135
UA22,1530270000,10.96518,53.2395331,-34.6878332
UA24,1530270000,0,51.6218607,-11.2332209
UA26,1530270000,4.082599343,51.484462,-1.35770919
UA41,1530270000,9.583216709,47.5692895,-14.5032837
UA43,1530270000,9.7536,46.0333106,-1.77902273
UA45,1530270000,12.187809,62.1007523,-27.2817311
UA56,1530270000,9.76122,52.5533238,-32.9301905
UA65,1530270000,10.9728,41.2071919,-17.2341645
UA71,1530270000,9.752393297,54.2709177,-20.2244443
UA865,1530270000,10.9728,52.4361188,-34.0087275
UA900,1530270000,9.4488,57.738107,-9.5618978
UA945,1530270000,10.9728,61.1297678,-53.874615
UA951,1530270000,10.3565325,53.2563915,-1.93136675
UA957,1530270000,10.3632,45.7701852,-28.0928968
UA961,1530270000,9.7536,51.633249,-1.38292505
UA963,1530270000,9.7536,53.9597577,-22.2011675
UA971,1530270000,10.3632,53.3977062,-2.94711923
UA973,1530270000,10.36207575,55.451382,-8.61333885
UA975,1530270000,9.7536,49.448514,-3.24218773
UA986,1530270000,10.35897968,52.0858308,-4.65368631
